               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,     metrics/mAP_0.5,               x/lr0,               x/lr1,               x/lr2
74,0.045447,0.058826,0.014914,0.55085,0.46284,0.002773,0.002773,0.002773
75,0.045403,0.06002,0.014858,0.54423,0.46337,0.002674,0.002674,0.002674
76,0.045499,0.059626,0.01484,0.54619,0.46327,0.002575,0.002575,0.002575
77,0.045261,0.059399,0.014605,0.56823,0.46438,0.002476,0.002476,0.002476
78,0.045154,0.05896,0.014611,0.55521,0.46501,0.002377,0.002377,0.002377
79,0.0453,0.059255,0.014617,0.56049,0.46449,0.002278,0.002278,0.002278
80,0.045108,0.058509,0.014581,0.54637,0.46469,0.002179,0.002179,0.002179
81,0.045218,0.059335,0.014415,0.5485,0.46291,0.00208,0.00208,0.00208
82,0.045042,0.059533,0.01437,0.54492,0.46562,0.001981,0.001981,0.001981
83,0.044786,0.058411,0.014368,0.54167,0.46523,0.001882,0.001882,0.001882
84,0.045078,0.059352,0.014175,0.53232,0.46536,0.001783,0.001783,0.001783
85,0.044733,0.058254,0.014151,0.55308,0.46573,0.001684,0.001684,0.001684
86,0.044927,0.059225,0.014151,0.53698,0.46615,0.001585,0.001585,0.001585
87,0.044785,0.058203,0.01402,0.52447,0.46541,0.001486,0.001486,0.001486
88,0.044969,0.059538,0.014029,0.53544,0.46409,0.001387,0.001387,0.001387
89,0.044843,0.058981,0.013874,0.56833,0.46393,0.001288,0.001288,0.001288
90,0.044547,0.058191,0.013879,0.55592,0.46393,0.001189,0.001189,0.001189
91,0.044631,0.058145,0.013781,0.54415,0.46398,0.00109,0.00109,0.00109
92,0.04443,0.058665,0.013696,0.53543,0.46458,0.000991,0.000991,0.000991
93,0.044593,0.058633,0.013729,0.57251,0.4659,0.000892,0.000892,0.000892
94,0.044514,0.058382,0.013658,0.5415,0.46555,0.000793,0.000793,0.000793
95,0.044545,0.058999,0.013661,0.55058,0.46525,0.000694,0.000694,0.000694
96,0.044295,0.057916,0.013456,0.53338,0.46486,0.000595,0.000595,0.000595
97,0.044293,0.057632,0.013558,0.54962,0.46517,0.000496,0.000496,0.000496
98,0.044191,0.05784,0.013456,0.55353,0.46507,0.000397,0.000397,0.000397
99,0.044281,0.057687,0.013455,0.55027,0.46524,0.000298,0.000298,0.000298
